Class	logFC	AveExpr	t	P.Value	adj.P.Val	B
AEA	0.5747151410548508	27.257153140613234	1.1694892883041286	0.2758666359647054	0.8543717654202411	-4.586531984822031
AcCa	0.24534981200272507	25.998196292582282	1.1940325184270835	0.24413368548843242	0.8543717654202411	-4.5697038232394815
CL	-0.02111139798783583	24.40746019274051	-0.052112300247531315	0.9587735716207123	0.9587735716207123	-4.704325881998142
Cer	0.21068508872982933	26.456679083537548	1.636650729398689	0.1147510002341573	0.8543717654202411	-4.480227768113505
CerG2Gc1	0.08244457648301053	23.94177488515328	0.31044176726236544	0.7641584877040066	0.8799400767500684	-4.622591606997551
CerP	1.1217565073148308	24.51539654926969	0.5041890082142416	0.6210002967884116	0.8543717654202411	-4.639727259564139
CerPE	-0.345813480768288	28.21625827661968	-0.6492676020758169	0.5343568857023309	0.8543717654202411	-4.61236167279721
ChE	0.20121382225265363	24.878386881774816	0.43043973445722844	0.6707165425201304	0.8543717654202411	-4.6666951183687235
Co	0.1689730141481277	26.935061338844974	0.561786194250283	0.5794707399017909	0.8543717654202411	-4.65607630334538
DG	0.19728423252305316	27.70215814722545	0.8681383936424988	0.39391673529216564	0.8543717654202411	-4.621139413884429
DLCL	-0.0862149749165658	25.414651712462614	-0.7601883454055417	0.4581980274461289	0.8543717654202411	-4.621333600907752
FA	-0.3574700412775887	26.50523926675394	-0.979415894892569	0.3560590287294287	0.8543717654202411	-4.597031180384968
Hex1Cer	0.10118251791760292	27.21224603705147	0.5996020990741288	0.5543904793276362	0.8543717654202411	-4.652521401237791
Hex2Cer	0.3938987219403089	25.91764867309713	2.184452303602597	0.038930458812103996	0.8543717654202411	-4.346945252075758
LPA	0.16330115160444686	21.92340975251855	0.7078498318576585	0.4991376690735866	0.8543717654202411	-4.609976237820792
LPC	0.10557680785792395	27.231186595287554	0.4497880970544763	0.6568994039275791	0.8543717654202411	-4.665301466173853
LPE	0.3049783148127155	25.292093497194006	1.1945308797458563	0.24394245330624661	0.8543717654202411	-4.56961494709859
LPG	-0.30807479937588955	22.171623333204394	-0.7891819161838207	0.4377328986672321	0.8543717654202411	-4.631455612659821
LPI	-5.624187755904066	19.050789877796102	-1.1595386508345997	0.2632484577751386	0.8543717654202411	-4.580363588501311
LPS	1.100773471445395	20.688736360092534	2.3006175713798163	0.050420779894990435	0.8543717654202411	-4.517928717551036
LSM	-0.31018655438534654	25.756713272653382	-0.6465190121065907	0.5240783528359276	0.8543717654202411	-4.6478074589748095
MG	-0.025867794264398555	25.16499726364855	-0.07686010561369179	0.9406222237375954	0.9587735716207123	-4.625581031266276
MLCL	0.4716266689390583	23.98628877845138	0.39430588650917	0.6969874928428282	0.8543717654202411	-4.666113869941613
OAHFA	-0.738597413684333	21.655671783103674	-1.4559275159073661	0.1647540147777515	0.8543717654202411	-4.54228495062552
PA	0.03636124719701572	26.73894460131302	0.0690329778383497	0.9455353184738102	0.9587735716207123	-4.681578431784381
PC	-0.08000275924293719	30.837218165136235	-0.4895869531699302	0.6288713000564599	0.8543717654202411	-4.662248472590145
PE	-0.03677930127664795	29.067079845421436	-0.32070219611051576	0.7512118408958859	0.8799400767500684	-4.6734659008166215
PEt	0.10735887404289898	29.0419285217463	0.5334928886750383	0.6081907477806562	0.8543717654202411	-4.616574525026842
PG	-0.15075489310542176	27.648024045749768	-1.068749559737349	0.29581455841629273	0.8543717654202411	-4.591091095046516
PI	-0.04652003189072077	27.23538726652028	-0.19067923539392756	0.8503806679056186	0.9232704394403859	-4.678958728635092
PMe	-3.641547832377562	24.718929378959384	-1.6435614061614943	0.13888816015841118	0.8543717654202411	-4.557706622416712
PS	-0.44359581864315323	26.76924264502667	-0.8731915025008019	0.39121178298275516	0.8543717654202411	-4.62044933272105
SM	0.07314064090739013	30.97047578644668	0.42515756911126373	0.6745096035761238	0.8543717654202411	-4.667065247035169
SPH	-0.327239554266608	26.876927226390553	-0.7633205759522006	0.45271076347664485	0.8543717654202411	-4.6346411660716536
SPHP	-0.21149181861169117	25.939473344037015	-0.472110957516382	0.6494567004378411	0.8543717654202411	-4.618518108540565
StE	11.320189560626114	-14.271473789011113	1.1544891795197554	0.2816171653167051	0.8543717654202411	-4.5873931127485745
TG	0.6180201987393227	27.200272170904707	1.6603980015682775	0.10984515670397875	0.8543717654202411	-4.47489428903763
ZyE	-0.05415190377364419	24.43116110443021	-0.22931415218485776	0.8243784810233408	0.9213641846731456	-4.6240304570200355
