global_sample_id	batch	sample_id	group	condition
batch1_HO_5	batch1	HO_5	HO	NA
batch1_HO_6	batch1	HO_6	HO	NA
batch1_HO_7	batch1	HO_7	HO	NA
batch1_HO_8	batch1	HO_8	HO	NA
batch1_QC_1	batch1	QC_1	NA	NA
batch1_WT_1	batch1	WT_1	WT	NA
batch1_WT_2	batch1	WT_2	WT	NA
batch1_WT_3	batch1	WT_3	WT	NA
batch1_WT_4	batch1	WT_4	WT	NA
batch2_HO_10	batch2	HO_10	HO	NA
batch2_HO_11	batch2	HO_11	HO	NA
batch2_HO_12	batch2	HO_12	HO	NA
batch2_HO_9	batch2	HO_9	HO	NA
batch2_QC_0	batch2	QC_0	NA	NA
batch2_QC_1	batch2	QC_1	NA	NA
batch2_QC_2	batch2	QC_2	NA	NA
batch2_QC_3	batch2	QC_3	NA	NA
batch2_WT_1	batch2	WT_1	WT	NA
batch2_WT_2	batch2	WT_2	WT	NA
batch2_WT_3	batch2	WT_3	WT	NA
batch2_WT_5	batch2	WT_5	WT	NA
batch3_HO_5	batch3	HO_5	HO	NA
batch3_HO_6	batch3	HO_6	HO	NA
batch3_HO_7	batch3	HO_7	HO	NA
batch3_HO_8	batch3	HO_8	HO	NA
batch3_QC_0	batch3	QC_0	NA	NA
batch3_QC_1	batch3	QC_1	NA	NA
batch3_QC_2	batch3	QC_2	NA	NA
batch3_QC_3	batch3	QC_3	NA	NA
batch3_WT_1	batch3	WT_1	WT	NA
batch3_WT_2	batch3	WT_2	WT	NA
batch3_WT_3	batch3	WT_3	WT	NA
batch3_WT_4	batch3	WT_4	WT	NA
batch4_HO_10	batch4	HO_10	HO	NA
batch4_HO_6	batch4	HO_6	HO	NA
batch4_HO_7	batch4	HO_7	HO	NA
batch4_QC_1	batch4	QC_1	NA	NA
batch4_QC_2	batch4	QC_2	NA	NA
batch4_QC_3	batch4	QC_3	NA	NA
batch4_WT_1	batch4	WT_1	WT	NA
batch4_WT_3	batch4	WT_3	WT	NA
batch4_WT_4	batch4	WT_4	WT	NA
batch4_WT_5	batch4	WT_5	WT	NA
