M	n_batches	n_pos	n_neg	frac_pos	delta_M_median	delta_M_mean
EphB1_PI3K_AKT_mTOR	3	0	3	0	-1.0635294222537133	-1.169528907195301
EphB1_JAK_STAT_inflammatory	3	1	2	0.3333333333333333	-0.9618591116347599	-0.17680855415726468
EphB1_MAPK_ERK_p38_JNK	3	1	2	0.3333333333333333	-0.8062201824482064	-0.5644574487475382
EphB1_cytoskeleton_FAQ_Src_Rho	3	2	1	0.6666666666666666	0.697040282728326	0.5277617376671647
EphB1_NFkB_inflammation_ROS	3	1	2	0.3333333333333333	-0.5600883889626467	-0.1809278249472465
EphB1_mito_stress_cell_death	3	1	2	0.3333333333333333	-0.2541427103758772	0.08143643732156298
EphB1_integrin_caveolae_membrane_microdomain	3	2	1	0.6666666666666666	0.16514529567391456	0.10738754770267499
EphB1_PGC1_NRF_mito_biogenesis	3	1	2	0.3333333333333333	-0.05723911660485012	-0.07200539179818059
EphB1_AMPK_energy_sensing	3	1	2	0.3333333333333333	-0.056994130531004605	0.003942473406956859
