pathway	axis	batch	n_genes	mean_LFC	sd_LFC	se_LFC	z_pathway
Supply_AMPK_energy_sensing	Supply	batch1	13	0.3972116427194126	1.2165841397049573	0.3374197305094207	1.1772033666191388
Supply_AMPK_energy_sensing	Supply	batch2	13	0.3282317315109425	0.9093751688636127	0.25221529230549844	1.3013950443312863
Supply_AMPK_energy_sensing	Supply	batch3	13	0.05682262687689991	0.5793022937281564	0.16066954800236685	0.3536614597064955
Supply_PPAR_alpha_FAO	Supply	batch1	9	0.7039070284765083	1.7111228136133174	0.5703742712044392	1.2341142720026497
Supply_PPAR_alpha_FAO	Supply	batch2	9	1.146012791898925	2.3536931523265174	0.7845643841088391	1.4606994851042636
Supply_PPAR_alpha_FAO	Supply	batch3	9	-0.046771313890542426	0.4392614684948972	0.14642048949829908	-0.3194314815556313
Supply_mTOR_SREBP_lipogenesis	Supply	batch1	11	-0.030088014206853152	0.48500559319249953	0.14623468853120639	-0.20575155258345143
Supply_mTOR_SREBP_lipogenesis	Supply	batch2	11	0.2544981680237989	0.7721813420880438	0.23282143471082814	1.09310454314438
Supply_mTOR_SREBP_lipogenesis	Supply	batch3	11	0.17517477363125175	0.6688978478540974	0.20168028949166128	0.8685765677587178
Transport_MAM_contact_sites	Transport	batch1	7	-0.021378370066648535	0.13184548028869075	0.04983290747596345	-0.42900105872731265
Transport_MAM_contact_sites	Transport	batch2	7	0.006494705856485971	0.21739805252006916	0.08216874035398024	0.07904107849903735
Transport_MAM_contact_sites	Transport	batch3	7	-0.08299223048825091	0.2299839993338217	0.08692578110876238	-0.9547481705618523
Transport_MICOS_cristae_morphology	Transport	batch1	6	-0.06549426605627642	0.0605973824378961	0.024738777786856	-2.647433378502405
Transport_MICOS_cristae_morphology	Transport	batch2	6	0.0819395154398363	0.04904923683442061	0.020024267086209357	4.0920107131545285
Transport_MICOS_cristae_morphology	Transport	batch3	6	0.028187678001651978	0.09834014036109741	0.040147194186394355	0.7021082935654969
Transport_PGC1a_NRF1_mito_biogenesis_import	Transport	batch1	12	-0.06979212752204839	0.18579992248662164	0.0536358176315313	-1.3012224033109387
Transport_PGC1a_NRF1_mito_biogenesis_import	Transport	batch2	12	0.020924688042168457	0.15623099401368726	0.045100003224782574	0.46396200767165985
Transport_PGC1a_NRF1_mito_biogenesis_import	Transport	batch3	12	0.05052883670545476	0.2138013896304562	0.06171914492812998	0.8186898370723381
Transport_phospholipid_transfer_proteins	Transport	batch1	8	-0.04982902667544126	0.14543720062588744	0.051419815399676695	-0.969062729769243
Transport_phospholipid_transfer_proteins	Transport	batch2	8	0.05487277587829642	0.19670784739837022	0.06954672640399807	0.789005877279393
Transport_phospholipid_transfer_proteins	Transport	batch3	8	-0.051703840983981605	0.3582888484068126	0.12667423716598805	-0.40816382352657304
